company_name,ticker,sector,founding_year,number_of_employees,ceo_tenure_years,ceo_count_since_2010,average_glassdoor_rating,institutional_ownership_pct,board_member_count,job_positions_open
...,...,...,1,0,1.5,3,4.0,-1.0,6,-1
General Electric,GE,Industries,1892,326000,8.0,3,7.5,25.6,11,25000
,,,0,0,0.0,0,0.0,0.0,0,30000
"G.E.V. Transportation, Inc.",GEV,Industrial Transportation & Logistics Services,1957,9000,24.0,8,3.2,85.5,15,100
General Electric Company,.GE,"Industrial goods and services; aircraft manufacturing, engineering, research; financial services",1892,306000,6.67,6,3.8,61.23,18,13000
GNRC,GNRC,Healthcare/Biotechnology,1969,1015,8.2,7,2.6,38.1,12,23
,,,-1,0,-1.0,-1,-1.0,-1.0,-1,-1
American Express,AXP,Financial Services,1850,57000,15.0,1,4.3,35.0,13,1000
General Motors Company,.GM,"Automotive Industry, Automotive - Passenger Cars & Light Trucks Manufacturing",1908,78000,12.0,3,4.2,30.1,14,20000
Google Inc.,"GOOG, GOOGL",Technology (including internet and mobile services),2015,203032,18.0,3,4.6,80.0,15,150
,GILD,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
"Gannett Co., Inc.",GPN,Multi-Business Media & Information Services,1904,27000,3.5,2,67.0,30.0,20,500
GlobalLogic,GL,Information Technology - Software (IT),1994,45000,5.0,2,4.1,15.0,10,50
Garmin Ltd.,GDDY,Healthcare and Medical Technologies,1990,10000000,10.0,5,4.3,65.1,5,-12345
Google Inc.,GOOGL,Technology,1998,182000,13.5,15,3.9,92.5,16,10000
"Tesla, Inc.",TSLA,Automotive & Clean Energy Infrastructure,2003,120000,16.0,2,4.5,70.0,20,10000
"Hovnanian Enterprises, Inc.",HIG,Homebuilding & Construction Industry,1970,3000,15.0,7,2.8,45.0,11,300
Amazon.com,AMZN,Technology,1994,1500000,17.0,1,92.0,82.7,9,10000
"HCA Healthcare, Inc.",HCA,Healthcare,1959,216000,7.0,3,4.1,81.4,15,1002
,,,0,0,0.0,0,0.0,0.0,0,0
HSBC Holdings plc,HSIC,"""Financial Services""",1865,400000,15.0,6,3.7,85.2,5,100
Hollister International,HSY,Apparel Retailers - Clothing Stores,1906,30000,2.25,2,67.0,47.3,12,50
Hess Corporation,HES,Energy,1902,8000000,2.15,6,3.8,98.5,9,2000000
Hewlett-Packard Company,HPQ,Technology,1939,57000,2.5,7,4.8,60.0,14,10000
Hilton WorldWide (Formerly Hilton Holdings),HLT,Hospitality,1919,1400000,4.0,1,3.7,90.0,11,10000
Holoxis Inc.,.NFX,Medical Technology,2001,35,2.0,4,8.5,98.0,7,10
Honeywell International Inc.,HD,Industrial Goods,1885,147500,12.6,15,82.0,73.0,20,1
Honeywell International Inc.,<stockSymbol>,Industrial Manufacturing,1925,132000,8.0,1,83.0,92.89,17,1232
Hormel Foods Corporation,HRL,Food Manufacturing,1889,22000,7.4,7,3.8,60.0,14,2
Hispanic Star Acquisition Corp.,HST,Financial Services,2021,1025,3.0,2,83.4,45.5,10,75
Walmart,WMT,Retail,1962,230000,10.0,3,4.7,15.0,18,1
Hewlett-Packard Company,HPQ,Technology,1939,400000,4.5,3,72.0,35.0,13,500
"Hub Financial Systems, Inc.",HUBB,Technology,2020,100,2.5,1,4.8,25.0,7,3
,,,0,0,0.0,0,0.0,0.0,0,0
Hanna Bank,HBSN,,1902,5000,10.0,20,3.9,60.0,5,50
,,,0,0,0.0,0,0.0,0.0,0,0
IBMCORP INC,ibm,Technology,2011,110000,34.0,12,-14.0,-45.0,13,50000
Fidelity National Financial Inc.,FNF,Real Estate,1968,5000,7.22,6,3.0,67.0,9,245
"Invenio, Inc.",IDXX,Biotechnology,2018,500,2.0,1,4.5,42.0,9,120
Illinois Tool Works Inc.,ITW,Manufacturing,1924,86500,9.25,7,3.8,58.2,17,450
Incyte Corporation,INCY,Biosciences (Biotechnology),1988,2,0.0,-1,3.5,60.0,15,2
International Reinsurance Corporation,IR,Insurance,1973,60000,40.0,13,8.5,95.0,25,50
PODD,PODD,Services,2020,500000,5.0,3,4.2,60.0,10,1000
<missing>,INTC,> Tech,1968,1080000,17.0,4,4.2,60.9,24,200
Intercontinental Exchange Inc.,ICE,Financial,2008,5300,9.0,3,76.0,83.0,20,50
Intelygenz Inc.,IFRKK,Information Retrieval,2008,23,2.0,1,4.5,82.0,7,11
,,,0,0,0.0,0,0.0,0.0,0,0
Interpublic Group of Cos. (Holding Co.),IPG.HK,Advertising/Multimedia & Marketing Services,1850,35000,21.0,12,75.0,75.2,15,100
INTELLA CORP,INTU,Information Technology,2010,400000,4.0,2,3.9,45.0,11,5000
"Cloudflare, Inc.",CLDR,Technology,2009,8000,12.0,1,4.25,85.0,15,300
"VIIZR, Inc. (formerly Valerius Capital Corp.)",IVZ,Technology,-15,45050020,5.0,12,2.5,65.0,10,-13
,INVH,,0,0,0.0,0,0.0,0.0,0,0
Intuit QuickBooks,INTU-QQ,E-Commerce & E-commerce,2011,56000,12.0,4,4.6,86.0,17,10000
Iron Mountain Inc.,IRM,Information Technology/Technology,1971,33000,2.0,5,3.8,85.0,12,0
"J.B. Hunt Transport Services, Inc.",JBHT,Transportation,1973,33000,25.0,1,3.6,95.0,13,400
JBL Audio,JBL,Electronics,1981,50000,50.0,10,3.9,70.0,75,10000
"Jack Henry & Associates, Inc.",JKHY,Financial Services,1979,40000,8.0,3,4.2,50.0,15,500
John,JKO,[REDACTED],1925,25000,15.0,4,82.0,55.0,12,50
Johnson & Johnson,JNJ,Healthcare,1886,132000,12.0,3,4.1,83.0,19,30000
,JCI,,0,0,0.0,0,0.0,0.0,0,0
JPMorgan Chase & Co.,JPM,Financial Services,1900,279000,14.2,14,4.7,60.5,20,500
Juniper Networks,JNPR,Telecommunications,1996,7000,3.0,2,0.5,98.0,11,100
...,...,...,1900,50000,10.0,3,8.5,70.0,15,100
KVUE-TV,KVEU,Broadcasting\nTelevision\nand\nRadio,1953,250,1.5,2,8.0,50.0,9,10
Kindle Direct Publishing LLC,AMZN.KPUS,Technology,2013,2000000,2021.0,2,4.5,85.6,11,50000
...full company name from search results,...ticker symbol extracted from URL or headline,Full sector information from source data,2010,2023,15.2,7,4.3,60.5,11,45
Company Name,TICKER SYMBOL,SECTOR/INDUSTRY,1800,50000,15.0,5,3.2,65.4,20,10
,KMB,,1956,1300,9.0,3,68.0,25.2,8,10
Kimberly-Clark Corporation,KMB,Consumer Staples,1882,136000,6.5,3,4.1,20.0,7,200
Kelly Services,KMI,Industrial,1955,40000,4.0,1,3.2,45.0,12,200
Kohlberg Kravis Roberts & Co.,KKR,Financials - Diversified Investments,1976,8000,10.2,3,4.1,95.25,5,15
KLA-Tencor Corporation,KLAC,Semiconductors & Semiconductor Equipment,1969,10000,5.0,2,4.8,85.0,15,20
Kraft Heinz Company,KHC,Consumer Staples,2015,1000000,8.0,3,2.6,98.0,15,100
Inseego Corp.,INSG,Communication Services,1998,0,13.5,2,83.0,35.5,10,6
Luxonix Holdings Inc.,LHX,Technology Sector,2010,50,1.5,3,2.8,45.0,9,20
Example Corp,EXAMPLE,Technology,2015,1000,3.2,2,8.1,75.0,12,25
Lexington Electric Co. Inc.,LRCX,Technology Hardware/Equipment,2015,1500,8.0,2,-1.2,-18.9,11,10
,,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
"Las Vegas Sands, Inc.",LVS,Consumer Discretionary,2004,55000,5.2,3,4.7,15.0,13,100
"L-3 Technologies, Inc.",LDOS,Industrial Technology / Aerospace & Defense,1959,5000,6.0,5,73.8,40.2,12,100
Lenovo,LNVDF,Technology,1984,220000,2020.0,2,3.8,95.0,13,500
Legal Information Institute (LIIG) at Northwestern University School of Law,NWC,Business,1859,1000,2002.0,3,4.7,35.6,40,50
,LLY,,0,0,0.0,0,0.0,0.0,0,0
"""Lincoln National Corporation""","""LN""","""Insurance Company""",1905,102000,11.0,19,2.7,65.0,9,500
"Lyft, Inc.",LYV,Transportation,2012,50000,6.45,8,3.95,48.75,4,42
,,,0,0,0.0,0,0.0,0.0,0,0
Lockheed Martin,LMT,Industrials,1997,135000,20.0,11,4.5,98.0,24,45
,,,0,0,0.0,0,0.0,0.0,0,0
,,,-1,0,0.0,0,50.0,25.0,10,5
"LU Lu Enterprises, Inc.",.LUVU,.LUVU,2023,12345,5.8,100,2.3,67.4,22,150
LyondellBasfield Industries,lyb,Industrial Materials,1921,12300,3.0,4,3.5,65.0,13,100
,MTB,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
MPC Corporation,MPCCY,Consumer Staples/Basic Industries,1916,2000,8.0,3,4.5,50.2,10,150
MK Technology (Global),MKTX,Information Technology & Consulting Services,1993,5000,4.0,2,8.5,65.2,9,100
Marathon Petroleum Corporation,MAR,Energy,1872,14000,3.5,5,3.7,75.0,12,250
,MMC,,0,300,20.0,3,8.99,50.0,10,5
